hour,interactive_serving,etl_pipeline,batch_ml_training,cold_backup
0,105.91444074782179,82.39910053252261,138.39996559708385,62.30891019733748
1,110.04512494709185,76.76641349900486,134.4035390304944,57.20532584697382
2,109.60581189131693,72.82205804870475,126.1801978532558,58.20512492551379
3,98.05256162515617,74.20000124177201,135.0331737096004,54.88071501708148
4,113.78956811079003,68.547362732653,123.82882832027421,53.79915750207788
5,111.38524384557478,77.20422302325127,140.63890231030794,61.60268290452607
6,118.92290919297731,78.8057911949755,142.5191253200866,59.72224879949248
7,126.38242368020435,88.24595632184628,149.0502473796758,65.07403191321612
8,135.43623200840054,93.11563078684398,162.0750052495604,70.791027244949
9,145.08560172120914,104.16595606637227,179.86671543729233,75.23520061931146
10,155.25021286650338,117.73023113729728,188.13408175207772,87.21379042958482
11,163.04736787493573,117.69623163690181,197.96489012703276,87.89683619756296
12,173.28504901928153,126.10692769523153,209.73146620896688,92.8576914087053
13,182.34921315301264,132.1277485229297,211.81330238898366,94.76294090373332
14,186.5311581610672,128.95252909609113,227.31582483115739,96.84255288678378
15,183.3564819927172,132.82198998100506,222.68518140349116,97.31318979462655
16,195.63914386989902,135.5540198591435,221.35432913677374,97.72908765201902
17,181.38832938381142,131.7661752534107,221.28651425328087,94.72424033309095
18,186.91438282727992,122.13295416678775,220.43432383710444,94.22499110740978
19,168.96029910576078,120.89728398465074,194.42489538891448,88.40530177872066
20,157.0698767287206,114.79621703073613,185.84662953517193,80.58323394895582
21,148.5274418713873,102.07557932216038,182.6652252018722,78.99902648943863
22,122.57767249818096,93.31398773009704,168.08180790375488,71.95507147349085
23,130.3464373092876,91.03483788700879,145.95161441316657,66.66829663484579
24,112.4777776831542,82.84481782823723,141.99697502273784,62.141000341183506
25,116.86443332486256,77.18166218503852,137.89668149370414,57.05116911395143
26,116.39789678960001,73.21597073187817,129.45961601677166,58.04827393706423
27,104.12871134349928,74.601367563513,138.5426803522786,54.73282263804674
28,120.84091323392833,68.91815252220304,127.04713448613282,53.65417970084897
29,118.28759710185352,77.62183993024762,144.29410160924814,61.43667618747004
30,126.2923586925207,79.2320713838498,146.22319153788277,59.561309470376365
31,134.21412654773022,88.72330071948323,152.92405719175025,64.89867061571786
32,143.8289839093378,93.6193164687853,166.2873279841108,70.60025980632672
33,154.07630857702878,104.72941571512303,184.54144398941418,75.03245703619153
34,164.870803308472,118.36706333458156,193.0236788154114,86.9787669801408
35,173.1511346911176,118.33287992240457,203.1099894965553,87.65997207852155
36,184.02322744461142,126.78907153442323,215.18237840793475,92.60745879256987
37,193.64908234332967,132.84246048434557,217.31832142482747,94.50757402722272
38,198.09017533856237,129.6500655033191,233.22375378901845,96.58158187841104
39,194.71876991208353,133.54045726770076,228.47276012871814,97.05095051538783
40,207.76256736051997,136.28726537716972,227.10731906620956,97.46572761253606
41,192.62865424864808,132.47893137478886,227.037741676678,94.46897774675695
42,198.49714778259016,122.79360179154395,226.1634028665608,93.97107389632636
43,179.43048016790698,121.55124756105668,199.47799044048182,88.16706744822277
44,166.80322863128373,115.41717841359751,190.67677580926988,80.36607850236017
45,157.73143368083242,102.62773160149283,187.41268690791895,78.7861401601458
46,130.1736014354816,93.81874637424012,172.45024719275648,71.76116717212531
47,138.42378332877865,91.5272680409375,149.74489088161562,66.48863911776621
48,114.42179402686492,82.41089182446272,140.4606295848609,63.86286881136938
49,118.88426669160988,76.77739875475295,136.4046994463591,58.63200316466192
50,118.4096667444613,72.832478868114,128.0589193440093,59.65673682134614
51,105.92842610379205,74.21061924452866,137.0437088785808,56.24941749598741
52,122.9294743271021,68.55717184416615,125.67253981302902,55.14088638103337
